Region,Sector correlation with treated
IX De La Araucanía,0.7390051302091559
VIII Del Biobío,0.7034599140048617
X De Los Lagos,0.6545052743478411
V De Valparaíso,0.5981763869705029
VI Del Libertador General Bernardo OHiggins,0.3804095209646486
RMS Región Metropolitana de Santiago,0.3615593076213507
IV De Coquimbo,0.15249646732700722
XII De Magallanes y de la Antártica Chilena,0.03698879200490837
XI Aysén del General Carlos Ibáñez del Campo,-0.006717280294388039
I De Tarapacá,-0.35785184570166717
III De Atacama,-0.4135516332171845
II De Antofagasta,-0.43361881741709346
