Country,Ring,Year,Gap_pct
Chile,Baseline (excl. Biobío only),1990,-14.368650078312955
Chile,Baseline (excl. Biobío only),1991,-7.199958683560394
Chile,Baseline (excl. Biobío only),1992,-2.934377964556238
Chile,Baseline (excl. Biobío only),1993,-5.827102896715964
Chile,Baseline (excl. Biobío only),1994,-0.7320766043171756
Chile,Baseline (excl. Biobío only),1995,1.622680475417257
Chile,Baseline (excl. Biobío only),1996,-2.7289125655667155
Chile,Baseline (excl. Biobío only),1997,-4.351091437497796
Chile,Baseline (excl. Biobío only),1998,-5.309296340493234
Chile,Baseline (excl. Biobío only),1999,-5.690573448525833
Chile,Baseline (excl. Biobío only),2000,-4.587775757263808
Chile,Baseline (excl. Biobío only),2001,-1.5820989004510666
Chile,Baseline (excl. Biobío only),2002,-5.483705231431935
Chile,Baseline (excl. Biobío only),2003,-3.1793779281282046
Chile,Baseline (excl. Biobío only),2004,-4.646835066402661
Chile,Baseline (excl. Biobío only),2005,-1.5865708157538856
Chile,Baseline (excl. Biobío only),2006,0.826804550663531
Chile,Baseline (excl. Biobío only),2007,-3.8225347848665945
Chile,Baseline (excl. Biobío only),2008,-3.389341098725645
Chile,Baseline (excl. Biobío only),2009,-3.0475718588851524
Chile,Baseline (excl. Biobío only),2010,-3.456343031501003
Chile,Baseline (excl. Biobío only),2011,-4.203300356166518
Chile,Baseline (excl. Biobío only),2012,-1.2442546761836188
Chile,Baseline (excl. Biobío only),2013,-3.782327653183843
Chile,Baseline (excl. Biobío only),2014,-6.77186383576701
Chile,Baseline (excl. Biobío only),2015,-3.21377869197499
Chile,Baseline (excl. Biobío only),2016,-4.660960871945235
Chile,Baseline (excl. Biobío only),2017,-6.502766671188661
Chile,Baseline (excl. Biobío only),2018,-4.501675260668881
Chile,Baseline (excl. Biobío only),2019,-6.176393145027864
Chile,Ring 1: excl. O'Higgins,1990,-10.16678243466215
Chile,Ring 1: excl. O'Higgins,1991,-2.3970067860148645
Chile,Ring 1: excl. O'Higgins,1992,2.863533626041751
Chile,Ring 1: excl. O'Higgins,1993,-1.1984820588727068
Chile,Ring 1: excl. O'Higgins,1994,5.4964393979548145
Chile,Ring 1: excl. O'Higgins,1995,4.766576443675207
Chile,Ring 1: excl. O'Higgins,1996,0.11903541609571107
Chile,Ring 1: excl. O'Higgins,1997,-3.227972372870982
Chile,Ring 1: excl. O'Higgins,1998,-4.24617855306807
Chile,Ring 1: excl. O'Higgins,1999,-4.820707499553522
Chile,Ring 1: excl. O'Higgins,2000,-1.9798116736924238
Chile,Ring 1: excl. O'Higgins,2001,1.1487112138620792
Chile,Ring 1: excl. O'Higgins,2002,-1.4928492575047092
Chile,Ring 1: excl. O'Higgins,2003,-0.046236379223226265
Chile,Ring 1: excl. O'Higgins,2004,-0.5016962839326834
Chile,Ring 1: excl. O'Higgins,2005,3.2954292733594874
Chile,Ring 1: excl. O'Higgins,2006,5.023978266082694
Chile,Ring 1: excl. O'Higgins,2007,-0.33487803142300515
Chile,Ring 1: excl. O'Higgins,2008,-0.28673750066471143
Chile,Ring 1: excl. O'Higgins,2009,1.5849880535868772
Chile,Ring 1: excl. O'Higgins,2010,-0.30657175823075916
Chile,Ring 1: excl. O'Higgins,2011,-1.8292232107977897
Chile,Ring 1: excl. O'Higgins,2012,-0.5993078027094714
Chile,Ring 1: excl. O'Higgins,2013,-5.299928537770747
Chile,Ring 1: excl. O'Higgins,2014,-8.367299187154693
Chile,Ring 1: excl. O'Higgins,2015,-5.399376682446569
Chile,Ring 1: excl. O'Higgins,2016,-7.311893874714093
Chile,Ring 1: excl. O'Higgins,2017,-10.740893755794422
Chile,Ring 1: excl. O'Higgins,2018,-8.03601869334177
Chile,Ring 1: excl. O'Higgins,2019,-10.233075488946845
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,1990,-12.171208928557503
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,1991,-3.2675991485642366
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,1992,2.8222625852755363
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,1993,0.2845945060782412
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,1994,6.130828624882036
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,1995,5.288059541818013
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,1996,-1.8236609620474198
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,1997,-8.413730714340748
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,1998,-9.718119107240396
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,1999,-10.013433073845349
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2000,-8.730023925552288
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2001,-7.129327123845269
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2002,-10.248119447038025
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2003,-8.681361451958765
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2004,-9.484136750471132
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2005,-4.998896244486958
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2006,-2.86627815159855
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2007,-7.526856395026094
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2008,-7.606426865279822
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2009,-5.958750889969165
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2010,-6.148415009807357
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2011,-8.541434655307743
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2012,-5.910805583219448
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2013,-12.135312475420049
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2014,-18.67716716528013
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2015,-15.464141021325654
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2016,-16.759291611271024
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2017,-21.068275875506707
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2018,-19.919009455314633
Chile,Ring 2: excl. O'Higgins + Araucanía + RM,2019,-22.124790244600227
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,1990,-10.513488060196021
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,1991,-7.137919146860964
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,1992,-3.7369551919367185
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,1993,0.09926333700674662
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,1994,2.8035297979352447
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,1995,4.310818481409902
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,1996,0.7307455486876631
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,1997,1.8255593013821034
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,1998,-2.549594238886111
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,1999,-6.5799503054342345
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2000,-7.862076370151405
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2001,-2.3297454088226064
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2002,1.0317408153005698
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2003,-0.3057426113432831
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2004,1.4743159981044518
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2005,6.577369760682897
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2006,8.82957534978667
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2007,0.6707337922703103
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2008,-2.545398170459669
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2009,0.8155969414877959
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2010,-6.183928703323499
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2011,-9.126422850619548
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2012,-4.509250088654162
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2013,1.316334058785368
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2014,3.9776077658219626
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2015,20.248261415306235
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2016,20.833707457161005
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2017,19.95176218398123
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2018,24.546887803357436
Chile,Ring 3: excl. O'Higgins + Araucanía + RM + Valparaíso + Los Lagos,2019,22.7200346697178
New Zealand,Baseline (all donors),2000,-0.030954597345526646
New Zealand,Baseline (all donors),2001,-1.9429981265243625
New Zealand,Baseline (all donors),2002,-1.825179930729039
New Zealand,Baseline (all donors),2003,0.17644549623605565
New Zealand,Baseline (all donors),2004,-0.2540680328311263
New Zealand,Baseline (all donors),2005,1.5174896067995383
New Zealand,Baseline (all donors),2006,-0.15918145482967788
New Zealand,Baseline (all donors),2007,0.9814140429273992
New Zealand,Baseline (all donors),2008,0.1599776233191778
New Zealand,Baseline (all donors),2009,-0.4694937001297315
New Zealand,Baseline (all donors),2010,0.49998165725062205
New Zealand,Baseline (all donors),2011,1.3291693673503546
New Zealand,Baseline (all donors),2012,3.6054120060293258
New Zealand,Baseline (all donors),2013,7.648715020154107
New Zealand,Baseline (all donors),2014,11.981005617805923
New Zealand,Baseline (all donors),2015,13.654389174454984
New Zealand,Baseline (all donors),2016,12.481264103426982
New Zealand,Baseline (all donors),2017,7.749961337169086
New Zealand,Baseline (all donors),2018,6.179662075741221
New Zealand,Baseline (all donors),2019,5.441596693802492
New Zealand,Ring 1: excl. West Coast,2000,0.13581309955469398
New Zealand,Ring 1: excl. West Coast,2001,-1.010319123014627
New Zealand,Ring 1: excl. West Coast,2002,-2.3189998037799806
New Zealand,Ring 1: excl. West Coast,2003,-0.38724799797789267
New Zealand,Ring 1: excl. West Coast,2004,-0.8250931406578088
New Zealand,Ring 1: excl. West Coast,2005,1.3252131662114082
New Zealand,Ring 1: excl. West Coast,2006,1.2067664356694112
New Zealand,Ring 1: excl. West Coast,2007,0.7524579659805787
New Zealand,Ring 1: excl. West Coast,2008,-1.5051694819391508
New Zealand,Ring 1: excl. West Coast,2009,0.3774790029386376
New Zealand,Ring 1: excl. West Coast,2010,1.0987569123232919
New Zealand,Ring 1: excl. West Coast,2011,3.5303648828980543
New Zealand,Ring 1: excl. West Coast,2012,5.894800743534955
New Zealand,Ring 1: excl. West Coast,2013,7.498305384510105
New Zealand,Ring 1: excl. West Coast,2014,10.1126641498789
New Zealand,Ring 1: excl. West Coast,2015,9.45190605942534
New Zealand,Ring 1: excl. West Coast,2016,6.235006133748851
New Zealand,Ring 1: excl. West Coast,2017,2.3454988581972285
New Zealand,Ring 1: excl. West Coast,2018,2.6083078900559253
New Zealand,Ring 1: excl. West Coast,2019,1.2885761043377586
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2000,-1.8751318497202685
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2001,-4.144510036198715
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2002,-5.079464338756734
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2003,-0.6843525337451328
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2004,-0.4842546811675773
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2005,1.848235827013515
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2006,0.8737730159285816
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2007,0.5840430605119568
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2008,0.9247926819178057
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2009,1.7016332187134418
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2010,2.040451040756756
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2011,3.439474392939766
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2012,5.84848380776638
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2013,10.522504015697177
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2014,13.348195466628232
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2015,14.948499451760616
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2016,12.453380387012123
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2017,8.769410404244129
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2018,8.998420474553132
New Zealand,Ring 2: excl. West Coast + Otago + Marlborough,2019,7.401419245157912
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2000,-1.505267658897742
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2001,-4.084260302715571
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2002,-4.940758120237968
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2003,-0.683806959844198
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2004,-0.7506518301046446
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2005,1.4390915825027513
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2006,0.9327731685236987
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2007,0.1458364727933828
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2008,0.774171499491048
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2009,1.708253547952825
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2010,2.8343557094097958
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2011,4.048662194465667
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2012,6.3024355764651085
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2013,11.029332807606886
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2014,13.526650949104422
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2015,14.822914342179299
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2016,11.654987077148583
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2017,7.873887194340372
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2018,7.929720265373627
New Zealand,Ring 3: excl. W.Coast + Otago + Marl. + Wellington + Southland,2019,6.117497265451928
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2000,6.05118392729003
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2001,-1.770318021201502
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2002,-3.711198877174738
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2003,6.157440813661729
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2004,5.307343433368629
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2005,8.520262161912589
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2006,6.345479317041994
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2007,1.3793829630408827
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2008,2.991936091642079
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2009,0.8410246523844213
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2010,5.6353811290683105
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2011,6.219947631516214
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2012,6.823444771689924
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2013,14.586758678183449
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2014,13.960875052587207
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2015,18.5878931725361
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2016,17.650040123326345
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2017,13.52352798250577
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2018,12.853058890794648
New Zealand,Ring 4: Ring 3 + Auckland (most restrictive),2019,10.222567755699709
